seed,keyword,pc_volume,mobile_volume,total_volume,competition,pc_click_avg,mobile_click_avg
음주운전,자동차상해,1370,1070,2440,높음,0.4,1.7
음주운전,음주운전초범,1410,1010,2420,높음,0.5,9.2
음주운전,교통사고사망,1180,1240,2420,높음,0.3,2.6
음주운전,교통사고분쟁,1340,1070,2410,높음,0.7,30.6
명예훼손,무죄추정의원칙,560,1850,2410,높음,0.4,7.4
음주운전,무면허음주운전,2070,330,2400,높음,0.0,4.6
명예훼손,특수폭행,470,1930,2400,높음,0.5,6.2
음주운전,경미한교통사고합의금,1210,1160,2370,높음,0.5,3.9
명예훼손,폭력,600,1760,2360,높음,0.8,4.2
음주운전,교통사고과실비율,1400,950,2350,높음,0.1,4.6
형사고소,공동주택관리법시행규칙,2070,280,2350,중간,0.0,0.0
음주운전,이의신청,740,1590,2330,높음,0.1,4.6
음주운전,음주운전구속,1440,860,2300,높음,0.1,2.0
음주운전,반성문,470,1820,2290,높음,3.2,27.2
명예훼손,징계,720,1560,2280,높음,0.2,0.5
음주운전,면허취소벌금,1040,1180,2220,높음,0.0,23.8
음주운전,교통사고손해사정사,1220,990,2210,높음,6.4,40.8
형사고소,입건,680,1480,2160,높음,0.0,1.8
음주운전,음주운전면허취소기간,400,1750,2150,높음,0.5,29.6
명예훼손,전기통신금융사기,650,1500,2150,높음,0.3,6.4
음주운전,접촉사고합의금,990,1140,2130,높음,0.0,4.8
형사고소,고발,540,1590,2130,높음,0.0,1.4
음주운전,음주운전2회처벌,1290,820,2110,높음,0.3,14.6
음주운전,인천음주운전변호사,1240,870,2110,높음,0.4,7.6
음주운전,자동차손해배상보장법,1040,1050,2090,높음,0.0,1.9
명예훼손,선고유예,580,1490,2070,높음,0.2,2.4
음주운전,교통사고합의,1240,820,2060,높음,0.1,5.0
음주운전,비접촉교통사고,250,1790,2040,높음,0.2,7.4
음주운전,공무원음주운전,1370,650,2020,높음,0.1,0.4
명예훼손,불기소,620,1400,2020,높음,0.1,3.4
명예훼손,상해죄,420,1590,2010,높음,0.0,2.8
명예훼손,노인학대,780,1210,1990,높음,0.5,11.6
음주운전,무면허운전벌금,1060,920,1980,높음,0.7,18.6
명예훼손,특수상해,780,1200,1980,높음,0.2,2.8
음주운전,주차뺑소니,190,1770,1960,높음,0.2,8.0
음주운전,음주운전방조죄,1060,880,1940,높음,0.1,5.6
음주운전,보복운전,410,1500,1910,높음,0.3,5.6
명예훼손,권리행사방해죄,340,1560,1900,높음,1.0,9.6
명예훼손,직권남용,460,1430,1890,높음,0.1,5.2
음주운전,자동차사고과실비율,1130,750,1880,높음,0.3,10.8
음주운전,음주운전집행유예,1140,730,1870,높음,0.0,2.6
음주운전,무면허벌금,130,1730,1860,높음,0.2,38.8
형사고소,디지털포렌식,620,1240,1860,높음,2.9,17.0
음주운전,운전면허벌점,280,1570,1850,높음,0.0,9.4
음주운전,교통사고형사합의금,1020,820,1840,높음,0.5,12.6
음주운전,음주운전면허취소구제,1270,560,1830,높음,0.3,13.8
음주운전,음주뺑소니,1570,240,1810,높음,0.0,0.0
음주운전,교통사고합의기간,990,820,1810,높음,0.0,12.0
명예훼손,스토킹잠정조치,630,1180,1810,높음,0.9,9.0
음주운전,사망사고,500,1290,1790,높음,0.0,1.0
음주운전,음주운전구제,1300,460,1760,높음,0.9,14.6
음주운전,음주운전기소유예,1060,690,1750,높음,0.0,2.0
